POSICION;FECHA;ANTERIOR;PRIMERO;MINIMO;MAXIMO;ULTIMO;VOLUMEN;AJUSTE;VAR %;IA;VAR. IA;TRADES,,,,,,,,,
MAI.ROS/DIC22;23-12-2021;200,500000;198,500000;196,500000;198,500000;198,000000;7;198,000000;-1,246883;364,000000;6,000000;7
MAI.ROS/DIC22;27-12-2021;198,000000;201,500000;201,500000;203,400000;203,400000;53;203,400000;2,727273;400,000000;36,000000;40
MAI.ROS/DIC22;21-12-2021;195,500000;196,500000;195,000000;196,500000;195,000000;2;194,200000;-0,664962;296,000000;0,000000;2
MAI.ROS/DIC22;20-12-2021;193,500000;193,000000;193,000000;194,500000;194,000000;34;195,500000;1,033592;296,000000;20,000000;17
MAI.ROS/DIC22;22-12-2021;194,200000;195,000000;195,000000;197,100000;197,100000;70;200,500000;3,244078;358,000000;62,000000;32
MAI.ROS/DIC22;17-12-2021;192,500000;193,500000;192,600000;193,500000;193,500000;14;193,500000;0,519481;276,000000;2,000000;10
MAI.ROS/DIC22;14-12-2021;188,700000;189,000000;189,000000;190,000000;190,000000;12;190,500000;0,953895;273,000000;7,000000;9
MAI.ROS/DIC22;16-12-2021;191,000000;192,000000;192,000000;192,000000;192,000000;3;192,500000;0,785340;274,000000;0,000000;2
MAI.ROS/DIC22;15-12-2021;190,500000;191,000000;191,000000;191,000000;191,000000;9;191,000000;0,262467;274,000000;1,000000;6
MAI.ROS/DIC22;13-12-2021;189,500000;0,000000;0,000000;0,000000;0,000000;0;188,700000;-0,422164;266,000000;0,000000;0
MAI.ROS/DIC22;10-12-2021;190,000000;191,000000;189,500000;191,500000;189,500000;33;189,500000;-0,263158;266,000000;31,000000;16
MAI.ROS/DIC22;09-12-2021;189,500000;190,000000;190,000000;190,500000;190,000000;46;190,000000;0,263852;235,000000;40,000000;25
MAI.ROS/DIC22;07-12-2021;189,000000;189,000000;189,000000;190,000000;189,500000;36;189,500000;0,264550;195,000000;27,000000;22
MAI.ROS/DIC22;06-12-2021;189,400000;188,500000;188,500000;189,000000;189,000000;17;189,000000;-0,211193;168,000000;15,000000;12
MAI.ROS/DIC22;03-12-2021;188,000000;188,500000;188,500000;188,500000;188,500000;1;189,400000;0,744681;153,000000;1,000000;1
MAI.ROS/DIC22;01-12-2021;186,000000;188,000000;188,000000;188,000000;188,000000;1;188,000000;1,075269;121,000000;1,000000;1
MAI.ROS/DIC22;02-12-2021;188,000000;190,000000;188,700000;190,000000;188,700000;33;188,000000;0,000000;152,000000;31,000000;14
