POSICION;FECHA;ANTERIOR;PRIMERO;MINIMO;MAXIMO;ULTIMO;VOLUMEN;AJUSTE;VAR %;IA;VAR. IA;TRADES,,,,,,,,,
TRI.ROS/ENE23;25-11-2021;232,000000;0,000000;0,000000;0,000000;0,000000;0;232,600000;0,258621;5,000000;0,000000;0
TRI.ROS/ENE23;23-11-2021;231,000000;0,000000;0,000000;0,000000;0,000000;0;233,000000;0,865801;5,000000;0,000000;0
TRI.ROS/ENE23;24-11-2021;233,000000;0,000000;0,000000;0,000000;0,000000;0;232,000000;-0,429185;5,000000;0,000000;0
TRI.ROS/ENE23;19-11-2021;230,500000;0,000000;0,000000;0,000000;0,000000;0;231,000000;0,216920;5,000000;0,000000;0
TRI.ROS/ENE23;16-11-2021;0,000000;225,000000;225,000000;225,000000;225,000000;5;225,000000;0,000000;5,000000;5,000000;2
TRI.ROS/ENE23;18-11-2021;227,000000;0,000000;0,000000;0,000000;0,000000;0;230,500000;1,541850;5,000000;0,000000;0
TRI.ROS/ENE23;17-11-2021;225,000000;0,000000;0,000000;0,000000;0,000000;0;227,000000;0,888889;5,000000;0,000000;0
TRI.ROS/ENE23;29-11-2021;232,000000;0,000000;0,000000;0,000000;0,000000;0;232,000000;0,000000;5,000000;0,000000;0
TRI.ROS/ENE23;26-11-2021;232,600000;0,000000;0,000000;0,000000;0,000000;0;232,000000;-0,257954;5,000000;0,000000;0
TRI.ROS/ENE23;30-11-2021;232,000000;230,000000;230,000000;230,000000;230,000000;2;230,000000;-0,862069;7,000000;2,000000;1
TRI.ROS/ENE23;01-12-2021;230,000000;0,000000;0,000000;0,000000;0,000000;0;229,000000;-0,434783;7,000000;0,000000;0
TRI.ROS/ENE23;02-12-2021;229,000000;0,000000;0,000000;0,000000;0,000000;0;232,500000;1,528384;7,000000;0,000000;0
TRI.ROS/ENE23;03-12-2021;232,500000;0,000000;0,000000;0,000000;0,000000;0;231,500000;-0,430108;7,000000;0,000000;0
TRI.ROS/ENE23;06-12-2021;231,500000;0,000000;0,000000;0,000000;0,000000;0;230,500000;-0,431965;7,000000;0,000000;0
TRI.ROS/ENE23;09-12-2021;230,900000;0,000000;0,000000;0,000000;0,000000;0;229,500000;-0,606323;8,000000;0,000000;0
TRI.ROS/ENE23;07-12-2021;230,500000;232,000000;232,000000;232,000000;232,000000;1;230,900000;0,173536;8,000000;1,000000;1
TRI.ROS/ENE23;10-12-2021;229,500000;0,000000;0,000000;0,000000;0,000000;0;228,000000;-0,653595;8,000000;0,000000;0
TRI.ROS/ENE23;13-12-2021;228,000000;0,000000;0,000000;0,000000;0,000000;0;226,000000;-0,877193;8,000000;0,000000;0
TRI.ROS/ENE23;13-01-2022;226,100000;225,000000;224,500000;225,000000;224,600000;25;224,600000;-0,663423;112,000000;3,000000;6
TRI.ROS/ENE23;14-01-2022;224,600000;225,000000;225,000000;225,000000;225,000000;1;225,000000;0,178094;113,000000;1,000000;1
TRI.ROS/ENE23;12-01-2022;227,000000;226,800000;225,500000;226,800000;226,100000;7;226,100000;-0,396476;109,000000;7,000000;7
TRI.ROS/ENE23;07-01-2022;222,700000;222,600000;222,000000;223,000000;223,000000;7;223,000000;0,134710;100,000000;2,000000;6
TRI.ROS/ENE23;06-01-2022;223,500000;222,700000;222,700000;222,700000;222,700000;1;222,700000;-0,357942;98,000000;1,000000;1
TRI.ROS/ENE23;10-01-2022;223,000000;222,700000;222,700000;225,400000;225,400000;5;225,400000;1,076233;102,000000;2,000000;5
TRI.ROS/ENE23;11-01-2022;225,400000;225,800000;225,800000;225,800000;225,800000;1;227,000000;0,709849;102,000000;0,000000;1
TRI.ROS/ENE23;03-01-2022;221,900000;221,500000;221,300000;221,500000;221,300000;2;221,300000;-0,270392;98,000000;0,000000;2
TRI.ROS/ENE23;30-12-2021;222,500000;221,200000;221,200000;221,900000;221,900000;2;221,900000;-0,269663;98,000000;0,000000;2
TRI.ROS/ENE23;04-01-2022;221,300000;0,000000;0,000000;0,000000;0,000000;0;222,400000;0,497063;98,000000;0,000000;0
TRI.ROS/ENE23;05-01-2022;222,400000;222,800000;222,800000;223,500000;223,500000;11;223,500000;0,494604;97,000000;-1,000000;8
TRI.ROS/ENE23;15-12-2021;223,500000;221,700000;221,700000;221,700000;221,700000;1;222,100000;-0,626398;19,000000;1,000000;1
TRI.ROS/ENE23;14-12-2021;226,000000;224,000000;223,000000;224,100000;223,500000;20;223,500000;-1,106195;18,000000;10,000000;10
TRI.ROS/ENE23;16-12-2021;222,100000;222,000000;222,000000;223,000000;223,000000;4;223,000000;0,405223;22,000000;3,000000;3
TRI.ROS/ENE23;20-12-2021;223,000000;223,000000;223,000000;223,500000;223,500000;2;223,500000;0,224215;26,000000;2,000000;2
TRI.ROS/ENE23;17-12-2021;223,000000;224,600000;222,600000;224,600000;223,000000;5;223,000000;0,000000;24,000000;2,000000;5
TRI.ROS/ENE23;29-12-2021;223,000000;222,500000;222,500000;222,500000;222,500000;1;222,500000;-0,224215;98,000000;1,000000;1
TRI.ROS/ENE23;28-12-2021;223,500000;223,000000;223,000000;223,000000;223,000000;64;223,000000;-0,223714;97,000000;60,000000;6
TRI.ROS/ENE23;27-12-2021;225,000000;0,000000;0,000000;0,000000;0,000000;0;223,500000;-0,666667;37,000000;0,000000;0
TRI.ROS/ENE23;23-12-2021;226,100000;0,000000;0,000000;0,000000;0,000000;0;225,000000;-0,486510;37,000000;0,000000;0
TRI.ROS/ENE23;22-12-2021;225,500000;225,700000;225,700000;226,100000;226,100000;5;226,100000;0,266075;37,000000;0,000000;5
TRI.ROS/ENE23;21-12-2021;223,500000;224,000000;223,500000;226,000000;225,500000;21;225,500000;0,894855;37,000000;11,000000;12
TRI.ROS/ENE23;16-02-2022;243,500000;244,500000;243,000000;244,500000;243,000000;14;243,000000;-0,205339;234,000000;5,000000;7
TRI.ROS/ENE23;15-02-2022;246,500000;244,000000;243,500000;244,000000;243,500000;15;243,500000;-1,217039;229,000000;6,000000;7
TRI.ROS/ENE23;14-02-2022;246,200000;246,000000;246,000000;247,300000;246,500000;11;246,500000;0,121852;223,000000;2,000000;7
TRI.ROS/ENE23;09-02-2022;242,600000;0,000000;0,000000;0,000000;0,000000;0;242,900000;0,123660;207,000000;0,000000;0
TRI.ROS/ENE23;11-02-2022;241,300000;242,000000;242,000000;247,000000;246,200000;31;246,200000;2,030667;221,000000;10,000000;20
TRI.ROS/ENE23;10-02-2022;242,900000;243,900000;241,300000;243,900000;241,300000;8;241,300000;-0,658707;211,000000;4,000000;5
TRI.ROS/ENE23;08-02-2022;239,000000;238,200000;238,200000;242,400000;242,400000;11;242,600000;1,506276;207,000000;5,000000;10
TRI.ROS/ENE23;04-02-2022;229,000000;230,000000;230,000000;233,000000;232,500000;43;232,500000;1,528384;192,000000;6,000000;25
TRI.ROS/ENE23;07-02-2022;232,500000;233,200000;233,200000;239,000000;239,000000;24;239,000000;2,795699;202,000000;10,000000;17
TRI.ROS/ENE23;03-02-2022;228,300000;228,800000;228,800000;229,000000;229,000000;4;229,000000;0,306614;186,000000;2,000000;2
TRI.ROS/ENE23;02-02-2022;228,800000;228,300000;228,300000;228,300000;228,300000;3;228,300000;-0,218531;184,000000;1,000000;2
TRI.ROS/ENE23;01-02-2022;227,000000;228,800000;228,800000;228,800000;228,800000;1;228,800000;0,792952;183,000000;0,000000;1
TRI.ROS/ENE23;31-01-2022;228,000000;227,800000;226,700000;228,000000;227,000000;8;227,000000;-0,438596;183,000000;-3,000000;8
TRI.ROS/ENE23;28-01-2022;228,400000;229,000000;228,000000;229,000000;228,000000;12;228,000000;-0,175131;186,000000;12,000000;7
TRI.ROS/ENE23;24-01-2022;229,600000;230,600000;230,500000;230,800000;230,500000;4;230,500000;0,391986;147,000000;2,000000;4
