PUERTO;MUELLE;GIRASOL;TRIGO;MAIZ;SOJA;CEBADA;SORGO;MES
BAHIA BLANCA;A.D.M. AGRO;0;91800;0;0;0;0;ene-21
BAHIA BLANCA;CARGILL;0;102250;108429;0;0;0;ene-21
BAHIA BLANCA;DREYFUS;0;33000;20405;0;0;0;ene-21
BAHIA BLANCA;PUERTO GALVAN;0;0;0;0;62450;0;ene-21
BAHIA BLANCA;TERMINAL;0;53900;47814;0;69300;0;ene-21
NECOCHEA;A.C.A.;0;;0;0;0;0;ene-21
NECOCHEA;SITIO 0;0;71500;0;0;96540;0;ene-21
NECOCHEA;TERMINAL QUEQUEN;0;76608;24680;0;19492;0;ene-21
RAMALLO;TERMINAL;0;0;59940;0;0;0;ene-21
ROSARIO;ARROYO SECO;0;118810;126100;0;0;0;ene-21
ROSARIO;GENERAL LAGOS;0;28550;99394;0;0;0;ene-21
ROSARIO;PUNTA ALVEAR;0;166066;187801;0;0;0;ene-21
ROSARIO;SERVICIOS PORTUARIOS UNID.VI-VII;0;54469;118477;0;0;0;ene-21
SAN LORENZO;A.C.A.;0;0;88010;0;0;0;ene-21
SAN LORENZO;COFCO PGSM;0;0;187098;0;0;0;ene-21
SAN LORENZO;DEMPA;0;65711;0;0;0;0;ene-21
SAN LORENZO;EL TRANSITO;0;0;47059;0;0;0;ene-21
SAN LORENZO;PAMPA;0;36080;1400;0;0;0;ene-21
SAN LORENZO;QUEBRACHO;0;66289;251603;0;0;0;ene-21
SAN LORENZO;RENOVA;0;136534;0;0;0;0;ene-21
SAN LORENZO;SAN BENITO;0;66000;0;0;0;0;ene-21
SAN LORENZO;TERMINAL 6;0;53683;202747;0;0;0;ene-21
SAN LORENZO;TIMBUES A.G.D.;0;0;98895;0;0;0;ene-21
SAN LORENZO;TIMBUES COFCO;0;136148;69708;0;0;0;ene-21
SAN LORENZO;TIMBUES DREYFUS;0;3574;28597;0;0;0;ene-21
ZARATE;LAS PALMAS;0;33000;3943;2875;24813;0;ene-21
ZARATE;LIMA;0;31200;0;0;0;0;ene-21
ZARATE;TERMINAL DEL GUAZU;0;;0;0;0;0;ene-21
BAHIA BLANCA;A.D.M. AGRO;0;59370;25541;0;0;0;feb-21
BAHIA BLANCA;CARGILL;0;66675;172934;0;0;0;feb-21
BAHIA BLANCA;DREYFUS;0;93395;27440;0;0;0;feb-21
BAHIA BLANCA;PUERTO GALVAN;0;63470;0;0;28971;0;feb-21
BAHIA BLANCA;TERMINAL;0;104097;59480;0;42000;0;feb-21
NECOCHEA;A.C.A.;0;65612;29010;0;27160;0;feb-21
NECOCHEA;SITIO 0;0;34598;0;0;193770;0;feb-21
NECOCHEA;TERMINAL QUEQUEN;0;46524;23702;0;49880;0;feb-21
RAMALLO;BUNGE;0;27111;0;0;0;0;feb-21
ROSARIO;ARROYO SECO;0;163730;0;0;0;0;feb-21
ROSARIO;GENERAL LAGOS;0;38112;50300;0;0;0;feb-21
ROSARIO;PUNTA ALVEAR;0;62996;201461;0;0;0;feb-21
ROSARIO;SERVICIOS PORTUARIOS UNID.VI-VII;0;31500;0;0;0;0;feb-21
SAN LORENZO;A.C.A.;0;99000;72600;0;0;0;feb-21
SAN LORENZO;COFCO PGSM;0;29818;118347;0;0;0;feb-21
SAN LORENZO;EL TRANSITO;0;75505;0;0;0;0;feb-21
SAN LORENZO;PAMPA;0;0;32790;0;0;0;feb-21
SAN LORENZO;QUEBRACHO;0;149245;103769;0;0;0;feb-21
SAN LORENZO;RENOVA;0;29500;0;0;0;0;feb-21
SAN LORENZO;SAN BENITO;0;61941;0;0;0;0;feb-21
SAN LORENZO;TERMINAL 6;0;0;84922;0;0;0;feb-21
SAN LORENZO;TIMBUES A.G.D.;0;0;31984;0;0;0;feb-21
SAN LORENZO;TIMBUES COFCO;0;71100;82352;0;0;0;feb-21
SAN LORENZO;TIMBUES DREYFUS;0;30624;42724;0;0;0;feb-21
ZARATE;LAS PALMAS;0;36839;4700;3000;0;0;feb-21
ZARATE;LIMA;0;93201;0;0;0;0;feb-21
ZARATE;TERMINAL DEL GUAZU;0;32175;0;0;0;0;feb-21
BAHIA BLANCA;CARGILL;0;29280;84780;0;0;0;mar-21
BAHIA BLANCA;DREYFUS;0;40082;43421;0;73697;0;mar-21
BAHIA BLANCA;PUERTO GALVAN;0;30800;18335;0;90500;0;mar-21
BAHIA BLANCA;TERMINAL;0;133891;93038;0;68900;0;mar-21
BAHIA BLANCA;ADM AGRO;0;52980;18777;0;51344;0;mar-21
NECOCHEA;A.C.A.;38500;74923;16736;0;124054;0;mar-21
NECOCHEA;SITIO 0;0;120952;0;0;97586;0;mar-21
NECOCHEA;TERMINAL QUEQUEN;0;112092;19120;0;143902;0;mar-21
RAMALLO;BUNGE;0;26968;25417;0;0;0;mar-21
ROSARIO;ARROYO SECO;0;63000;333630;0;0;0;mar-21
ROSARIO;GENERAL LAGOS;0;108280;40000;0;0;0;mar-21
ROSARIO;PUNTA ALVEAR;0;78084;179096;0;0;0;mar-21
SAN LORENZO;A.C.A.;0;0;237264;0;0;0;mar-21
SAN LORENZO;COFCO PGSM;0;24945;293694;0;0;0;mar-21
SAN LORENZO;DEMPA;0;6900;0;0;0;0;mar-21
SAN LORENZO;EL TRANSITO;0;0;80473;4000;0;0;mar-21
SAN LORENZO;PAMPA;0;0;72371;0;0;0;mar-21
SAN LORENZO;QUEBRACHO;0;14945;126064;0;0;0;mar-21
SAN LORENZO;RENOVA;0;9533;206539;0;0;0;mar-21
SAN LORENZO;SAN BENITO;0;1902;100654;0;0;0;mar-21
SAN LORENZO;TERMINAL 6;0;17800;247046;0;0;0;mar-21
SAN LORENZO;TIMBUES A.G.D.;0;62118;88319;0;0;0;mar-21
SAN LORENZO;TIMBUES COFCO;0;71611;175219;0;0;0;mar-21
SAN LORENZO;TIMBUES DREYFUS;0;0;174838;0;0;0;mar-21
ZARATE;LAS PALMAS;0;0;0;2339;0;0;mar-21
ZARATE;LIMA;0;33000;97290;0;0;0;mar-21
ZARATE;TERMINAL DEL GUAZU;0;0;30500;0;0;0;mar-21
BAHIA BLANCA;A.D.M. AGRO;0;47650;98460;11000;0;0;abr-21
